==============================
Processo, 33, tempo, 3.398846, Prioridade,-1
Processo, 50, tempo, 3.400711, Prioridade,-1
Processo, 58, tempo, 3.341599, Prioridade,-1
Processo, 47, tempo, 3.437018, Prioridade,-1
Processo, 20, tempo, 3.451785, Prioridade,-1
Processo, 37, tempo, 3.419515, Prioridade,-1
Processo, 0, tempo, 3.442774, Prioridade,-1
Processo, 19, tempo, 3.414395, Prioridade,-1
Processo, 39, tempo, 3.434854, Prioridade,-1
Processo, 51, tempo, 3.379107, Prioridade,-1
Processo, 22, tempo, 3.434364, Prioridade,-1
Processo, 35, tempo, 3.407088, Prioridade,-1
Processo, 10, tempo, 3.393270, Prioridade,-1
Processo, 15, tempo, 3.432351, Prioridade,-1
Processo, 26, tempo, 3.450331, Prioridade,-1
Processo, 28, tempo, 3.416857, Prioridade,-1
Processo, 38, tempo, 3.419940, Prioridade,-1
Processo, 43, tempo, 3.428533, Prioridade,-1
Processo, 6, tempo, 3.387656, Prioridade,-1
Processo, 7, tempo, 3.441037, Prioridade,-1
Processo, 53, tempo, 3.403749, Prioridade,-1
Processo, 56, tempo, 3.387715, Prioridade,-1
Processo, 1, tempo, 3.465987, Prioridade,-1
Processo, 57, tempo, 3.386968, Prioridade,-1
Processo, 4, tempo, 3.383731, Prioridade,-1
Processo, 8, tempo, 3.424363, Prioridade,-1
Processo, 54, tempo, 3.416373, Prioridade,-1
Processo, 24, tempo, 3.460004, Prioridade,-1
Processo, 42, tempo, 3.446464, Prioridade,-1
Processo, 14, tempo, 3.384312, Prioridade,-1
Processo, 3, tempo, 3.392982, Prioridade,-1
==============================
Processo, 2, tempo, 3.576996, Prioridade,-1
Processo, 58, tempo, 3.571357, Prioridade,-1
Processo, 35, tempo, 3.527046, Prioridade,-1
Processo, 19, tempo, 3.627898, Prioridade,-1
Processo, 16, tempo, 3.574624, Prioridade,-1
Processo, 12, tempo, 3.579238, Prioridade,-1
Processo, 30, tempo, 3.589777, Prioridade,-1
Processo, 27, tempo, 3.599209, Prioridade,-1
Processo, 31, tempo, 3.550039, Prioridade,-1
Processo, 34, tempo, 3.595252, Prioridade,-1
Processo, 23, tempo, 3.643933, Prioridade,-1
Processo, 24, tempo, 3.632841, Prioridade,-1
Processo, 29, tempo, 3.604207, Prioridade,-1
Processo, 15, tempo, 3.632386, Prioridade,-1
Processo, 25, tempo, 3.611858, Prioridade,-1
Processo, 61, tempo, 3.629638, Prioridade,-1
Processo, 21, tempo, 3.701627, Prioridade,-1
Processo, 22, tempo, 3.707831, Prioridade,-1
Processo, 20, tempo, 3.714660, Prioridade,-1
Processo, 18, tempo, 3.739019, Prioridade,-1
Processo, 38, tempo, 3.710758, Prioridade,-1
Processo, 57, tempo, 3.686440, Prioridade,-1
Processo, 63, tempo, 3.643083, Prioridade,-1
Processo, 17, tempo, 3.731191, Prioridade,-1
Processo, 33, tempo, 3.692342, Prioridade,-1
Processo, 10, tempo, 3.690224, Prioridade,-1
Processo, 14, tempo, 3.726662, Prioridade,-1
Processo, 28, tempo, 3.713119, Prioridade,-1
Processo, 26, tempo, 3.724938, Prioridade,-1
Processo, 0, tempo, 3.769267, Prioridade,-1
Processo, 13, tempo, 3.699450, Prioridade,-1
Processo, 32, tempo, 3.705527, Prioridade,-1
Processo, 6, tempo, 3.730141, Prioridade,-1
Processo, 59, tempo, 3.684227, Prioridade,-1
Processo, 62, tempo, 3.683806, Prioridade,-1
Processo, 64, tempo, 3.661810, Prioridade,-1
Processo, 3, tempo, 3.689961, Prioridade,-1
Processo, 52, tempo, 3.710434, Prioridade,-1
Processo, 54, tempo, 3.698435, Prioridade,-1
Processo, 9, tempo, 3.721466, Prioridade,-1
Processo, 56, tempo, 3.696170, Prioridade,-1
Processo, 37, tempo, 3.759569, Prioridade,-1
Processo, 39, tempo, 3.763518, Prioridade,-1
Processo, 60, tempo, 3.707172, Prioridade,-1
Processo, 48, tempo, 3.741429, Prioridade,-1
Processo, 55, tempo, 3.721567, Prioridade,-1
Processo, 11, tempo, 3.723861, Prioridade,-1
Processo, 4, tempo, 3.754125, Prioridade,-1
Processo, 5, tempo, 3.760027, Prioridade,-1
Processo, 36, tempo, 3.785674, Prioridade,-1
Processo, 53, tempo, 3.731258, Prioridade,-1
Processo, 1, tempo, 3.798042, Prioridade,-1
Processo, 8, tempo, 3.754473, Prioridade,-1
